persona,task_index,criterion_name,was_corrected,pre_correction_score_mean,post_correction_score_mean,pre_correction_ground_truth,post_correction_ground_truth
Aisha Patel,0,Two-Option Framework,True,0.94,1.0,,
Aisha Patel,0,Quantified Progress,True,0.94,1.0,,
Aisha Patel,1,Audience-Appropriate Logic Flow,True,0.98,1.0,,
Alex Chen,0,No Trailing Sentiment,True,0.91,0.7533333333333333,,
Alex Chen,0,Single-Owner Action Items,True,0.91,0.7533333333333333,,
Alex Chen,0,Emotional Arc Sequencing,True,0.91,0.7533333333333333,,
Alex Chen,1,Single-Owner Action Items,True,0.89,1.0,,
Alex Chen,1,Emotional Arc Sequencing,True,0.89,1.0,,
Carmen Vasquez,0,Voice Matching,True,0.7266666666666667,0.8833333333333333,,
Carmen Vasquez,0,CC Audience Awareness,True,0.7266666666666667,0.8833333333333333,,
Carmen Vasquez,0,Recipient-Interest Framing,True,0.7266666666666667,0.8833333333333333,,
Carmen Vasquez,1,Directive Clarity,True,0.85,0.89,,
Carmen Vasquez,1,Voice Matching,True,0.85,0.89,,
Carmen Vasquez,1,CC Audience Awareness,True,0.85,0.89,,
Derek Liang,0,Single Responder Principle,True,0.98,1.0,,
Derek Liang,0,Raw Evidence Over Prose Description,True,0.98,1.0,,
Derek Liang,1,Single Responder Principle,True,0.88,0.96,,
Derek Liang,1,Raw Evidence Over Prose Description,True,0.88,0.96,,
James Okafor,0,Patient Flow Impact First,True,0.96,1.0,,
James Okafor,1,Fallback Procedures Included,True,0.96,1.0,,
James Okafor,1,Patient Flow Impact First,True,0.96,1.0,,
Kofi Mensah,0,Risk-First Internal Updates,True,0.91,1.0,,
Kofi Mensah,1,No Commercial Terms in Writing,True,0.8966666666666667,1.0,,
Kofi Mensah,1,Risk-First Internal Updates,True,0.8966666666666667,1.0,,
Lin Zhang,0,Budget Gap Transparency,True,0.7566666666666667,1.0,,
Lin Zhang,0,Transparent CC Purpose,True,0.7566666666666667,1.0,,
Lin Zhang,1,External Constraint Framing,True,0.9533333333333333,0.96,,
Lin Zhang,1,Transparent CC Purpose,True,0.9533333333333333,0.96,,
Miriam Osei,0,Decision Attribution,True,0.99,1.0,,
Miriam Osei,0,Absolute Date Precision,True,0.99,1.0,,
Miriam Osei,1,Decision Attribution,True,1.0,1.0,,
Miriam Osei,1,Problem-First Policy Framing,True,1.0,1.0,,
Rachel Thornton,0,Scoped Review Requests,True,0.9633333333333333,1.0,,
Rachel Thornton,0,"Link, Don't Duplicate",True,0.9633333333333333,1.0,,
Rachel Thornton,1,Decision Tradeoff Transparency,True,0.85,1.0,,
Rachel Thornton,1,"Link, Don't Duplicate",True,0.85,1.0,,
Tom Brennan,0,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",True,0.0,1.0,,
Tom Brennan,1,"Cost/Schedule Impact First (priority 1, category: Structure, confidence: high)",True,0.0,0.0,,
